registros,I_Cmp,I_Und
1,ARROZ,"PACOTE DE 1,0 KG"
1,ARROZ,PACOTE DE 1KG
1,ARROZ IN - NATURA,PACOTE COM 1KG
1,ARROZ IN - NATURA,PACOTE 500G
1,ARROZ IN - NATURA,5KG
1,FARINHA ARROZ,"CAIXA 10,00 UN"
1,ARROZ,"CAIXA 30,00 UN"
1,FARINHA ARROZ,"*PACOTE 500,00 G"
1,ARROZ,___PACOTE
1,CASCA ARROZ,175GR
1,ARROZ,1920
1,ARROZ,25G
1,ARROZ,372
1,ARROZ,EMB DE 01KG
1,FARINHA ARROZ,EMBALAGEM
1,ARROZ IN - NATURA,EMBALAGEM 250 G
1,ARROZ,"EMBALAGEM 250,0000 G"
1,ARROZ,EMBLAGEM
1,ARROZ,FADO C/10 X 1 KG.
1,ARROZ,FARDO 10 KG
1,ARROZ IN - NATURA,FARDO 30K
1,ARROZ,FDS.C/30 KILOGRAMAS
1,ARROZ,FARDO.
1,ARROZ IN - NATURA,FARDO/30KILOS
1,ARROZ,FARDOS DE 30 KG
1,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),FD
1,ARROZ,FARDO C/30X1
1,ARROZ,FARDO C/5KG
1,ARROZ,FARDO C/6
1,ARROZ IN - NATURA,FARDO 6X 5 KG
1,ARROZ,FARDO C/ 30KG
1,ARROZ,FARDO C/30 X 01 KG.
1,ARROZ IN - NATURA,PCT 05
1,ARROZ IN - NATURA,PCT C/ 5KG X 1
1,ARROZ,PCT DE 5 KG CADA
1,ARROZ IN - NATURA,PCT.05 KG.
1,ARROZ,PCT.C/05KG
1,ARROZ,PCTE 5 KGS
1,ARROZ,PASS
1,CASCA ARROZ,PC
1,ARROZ,PACOTES DE 5K.
1,ARROZ,PACOTE/5 KG
1,ARROZ,PACOTES C/ 05 KG
1,ARROZ IN - NATURA,SACO KG
1,CASCA ARROZ,SACOS/10
1,CASCA ARROZ,SACO C/40KG
1,CASCA ARROZ,TO
1,CASCA ARROZ,UND
1,ARROZ IN - NATURA,SACO  5K
1,ARROZ IN - NATURA,PD.
1,ARROZ,PTE
1,ARROZ IN - NATURA,UNIDADES
1,ARROZ,UNDS
1,ARROZ,UNI
1,ARROZ,UNIDADA
1,ARROZ IN - NATURA,SACO C/5KG
1,ARROZ,SACO DE 5KG
1,CASCA ARROZ,T
1,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,UN
1,FARINHA ARROZ,UN
1,ARROZ,PCT C/ 05 KG
1,ARROZ,PCT COM 05 KILO
1,ARROZ,PCTE 1 KG
1,ARROZ,PCTS C/05 KILOS
1,ARROZ IN - NATURA,"PACOTE DE 1,0KG"
1,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),"PACOTE 100,00 UN"
1,ARROZ,"PACOTE 00000001,00KG"
1,ARROZ,PACOTE 5 KGS
1,ARROZ,PACOTE 5 QUILOS
1,ARROZ IN - NATURA,PACOTE COM 1KG.
1,ARROZ,PACOTE COM 5KG.
1,ARROZ IN - NATURA,111
1,ARROZ,2640
1,ARROZ,490
1,CASCA ARROZ,CARGA
1,ARROZ,EMBALAGEM C/ 5 KG
1,ARROZ,EMBALAGEM DE 1KG
1,ARROZ IN - NATURA,FAD
1,ARROZ IN - NATURA,FARD
1,ARROZ,FARDO 6PCX5KG
1,ARROZ IN - NATURA,FARDO 6X5KG
1,ARROZ,FARDO C/ 30 PAC
1,ARROZ IN - NATURA,FARDO C/30
1,ARROZ,FARDO C/30KILO
1,ARROZ IN - NATURA,FARDO.
1,ARROZ IN - NATURA,FARDOS 6X5KG
1,ARROZ,FARDOS DE 30 KG.
1,ARROZ,FDS
1,ARROZ,FRASCO
1,CASCA ARROZ,JG
1,CASCA ARROZ,KGS
1,ARROZ,KL
1,ARROZ IN - NATURA,L
1,ARROZ,"LATA 470,00 G"
1,ARROZ,LOTE
1,CASCA ARROZ,M3.
1,ARROZ IN - NATURA,PAC. 5KG
1,CASCA ARROZ,SACO 9KG
1,CASCA ARROZ,SACO DE 30 KG
1,ARROZ IN - NATURA,SACO 5 KG
1,ARROZ IN - NATURA,FARDO DE 30KG.
1,ARROZ,FARDO COM 30 X 01KG
1,ARROZ,FDO 6X5
1,ARROZ,FRADO 30 KG.
1,ARROZ,FARDO(30 KG)
1,ARROZ,FARDP
1,CASCA ARROZ,KG.
1,ARROZ IN - NATURA,KERO KERO
1,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,KG
1,ARROZ,EMB C/5KG
1,ARROZ IN - NATURA,EMB COM 5 KG
1,ARROZ,EMB. DE 500G
1,ARROZ,"*PACOTE 400,00 G"
1,ARROZ IN - NATURA,_FARDO
1,ARROZ,180G
1,ARROZ,450
1,ARROZ IN - NATURA,AQUISICAO
1,ARROZ,"CAIXA 00000010,00 KG"
1,ARROZ,"*FRASCO 500,00 ML"
1,ARROZ,EMBALAGEM 500 G
1,ARROZ IN - NATURA,EMBALAGEM DE 1 KG
1,ARROZ IN - NATURA,FARDO 6X5GR
1,ARROZ,FARDO C/ 06 PACOTES
1,CASCA ARROZ,SACA 50KG
1,ARROZ IN - NATURA,PCT. 5 KG.
1,ARROZ IN - NATURA,PCTO
1,ARROZ,QUILIGRAMAS
1,ARROZ,PACOTES 05 KG
1,ARROZ,PACOTES 5 KILOS
1,ARROZ,PC DE 5KG
1,ARROZ,PCT COM 5KG
1,ARROZ IN - NATURA,PACOTE DE 1 KILO
1,ARROZ,PACOTE DE 5 QUILOS
1,ARROZ IN - NATURA,"PACOTE DE 5,00 KG"
1,ARROZ,KH
1,ARROZ,"PACOTE 00005,00KG"
1,ARROZ,PACOTE 5 KILOS
1,ARROZ IN - NATURA,PACOTE C/ 1KG
1,ARROZ IN - NATURA,PACOTE C/05
1,ARROZ IN - NATURA,PACOTE C/05QUILOS
1,ARROZ IN - NATURA,PACOTE C/5 KG
1,ARROZ IN - NATURA,PACOTE COM 05/KG
1,ARROZ IN - NATURA,PACOTE C/ 01 KG
1,ARROZ,800G
1,ARROZ IN - NATURA,DIVERSSOS
1,ARROZ IN - NATURA,EMB COM 5KG
1,ARROZ IN - NATURA,1500
1,ARROZ IN - NATURA,16450
1,CASCA ARROZ,2KG
1,ARROZ,30G
1,ARROZ IN - NATURA,FARDO 30 X 01 KGS.
1,ARROZ,FARDO 30X1KG.
1,CASCA ARROZ,KILOGRAMA
1,ARROZ,KIOLOGRAMA
1,ARROZ IN - NATURA,KK
1,ARROZ IN - NATURA,KL
1,ARROZ,PAC 5KG
1,ARROZ,PACOTE -5 KG
1,ARROZ IN - NATURA,FARDO C/30 KG
1,ARROZ,FARDO COM 10 KG
1,ARROZ,FARDO COM 25 KG
1,ARROZ IN - NATURA,FARDO COM 6 PAGOTES
1,ARROZ IN - NATURA,FARDO DE 30 KG
1,ARROZ IN - NATURA,FARDO DE 30 KG.
1,ARROZ,FARDOS C/30 KILOGRAM
1,ARROZ IN - NATURA,FARDOS DE 30 KG.
1,ARROZ,FD. C/10 K
1,ARROZ,FDO 30KG.
1,ARROZ,FDS.
1,ARROZ,FDS. C/30 KGMS.
1,ARROZ,FRADOS
1,CASCA ARROZ,PT
1,ARROZ IN - NATURA,PCT 5K
1,ARROZ,UNIDADE C/ 300 GRS
1,CASCA ARROZ,SACA DE 20KG
1,ARROZ IN - NATURA,SACA DE 40 KG
1,ARROZ,"SACO 500,00 G"
1,CASCA ARROZ,SACO C/ 40KG
1,ARROZ IN - NATURA,SACO C/ 5 QUILOGRAMA
1,ARROZ,SACO C/ 5KG
1,ARROZ,SACO DE 5 KG
1,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERV
1,CASCA ARROZ,TONELADAS
1,ARROZ,UN COM 1KG
1,ARROZ,UNBID
1,ARROZ,PCT COM 1 KG
1,ARROZ,PCT COM 5 KG
1,ARROZ,PCT/5KGS
1,ARROZ IN - NATURA,PCTES
1,ARROZ,PCTO
1,ARROZ,PC 5KG
1,ARROZ,PC.
1,ARROZ IN - NATURA,PC22
1,ARROZ,PACOTE 05 KILOS
1,ARROZ IN - NATURA,"PACOTE 5,0 KG"
1,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),KG
1,ARROZ,PACOTES 5KILOS
1,ARROZ,PACOTE DE 1 KG.
1,ARROZ,PACOTE(05KG)
1,ARROZ IN - NATURA,SCS
1,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERVICO
1,ARROZ,SACO 5 KG
1,ARROZ,SACO COM 5 QUILO
1,ARROZ,"SACO DE 1,00 KG"
1,ARROZ IN - NATURA,SACO SEMENTE
1,ARROZ IN - NATURA,SACOS DE ARROZ TIPO
1,ARROZ IN - NATURA,PCT 500G
1,ARROZ,PCT 5KG.
1,ARROZ,RFRD
1,CASCA ARROZ,SACA DE 40 KG.
1,ARROZ IN - NATURA,SACA DE 60 KG
1,ARROZ IN - NATURA,PCTO5KG
1,ARROZ,PCTS 05 KILOS
1,ARROZ,"PEÇA 1,00 KG"
1,ARROZ,"POTE 1,00 KG"
1,ARROZ,QUIILOGRAMA
1,ARROZ IN - NATURA,QUILIGRAMA
1,ARROZ IN - NATURA,PCT 1KG
1,ARROZ IN - NATURA,PACOTES C/ 5 KG
1,ARROZ,PACTOTE
1,ARROZ IN - NATURA,PAOTE DE 5KG
1,ARROZ,PCOTE COM 5KG
1,ARROZ IN - NATURA,PACOTE COM 250 GR.
