registros,I_Cmp,I_Und
11,TANQUE DE CIMENTO PARA LAVAR ROUPA,PÇ
11,TAMPA TUBO ABASTECIMENTO,UNID
11,CONTROLE DE ABASTECIMENTO DE VEICULOS,SERVIÇOS
11,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,PEÇA
11,TANQUE DE CIMENTO PARA LAVAR ROUPA,UM
11,CIMENTO BRANCO,CX
11,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UD
11,CIMENTO PORTLAND,PCT
11,CIMENTO DE IONÔMERO DE VIDRO,FR
11,CIMENTO ORTOPÉDICO,"CAIXA 80,00 G"
11,CIMENTO PORTLAND,KILO
11,CIMENTO RESINOSO,UN
11,COMPONENTE BOMBA ABASTECIMENTO,UNID
10,CONTROLE DE ABASTECIMENTO DE VEICULOS,ANUAL
10,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UM
10,CIMENTO REFRATÁRIO,SC 50KG
10,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,JG
10,TAMPA TUBO ABASTECIMENTO,UMA
10,CACAROLA DE AQUECIMENTO DE COLA,UND
10,CIMENTO PORTLAND,U
10,TAMPA TUBO ABASTECIMENTO,UM
10,CIMENTO PORTLAND,SC 50KG
10,CIMENTO BRANCO,SACO 1 KG
10,CIMENTO BRANCO,SACO 50 KG
10,CONTROLE DE ABASTECIMENTO DE VEICULOS,LITROS
10,CIMENTO REFRATÁRIO,UNID.
10,EQUIPAMENTO CONJUGADO COM UNIDADE DE  AQUECIMENTO DE ALIMENTO,UND
10,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,PÇ
10,CACAROLA DE AQUECIMENTO DE COLA,KG
10,CONTROLE DE ABASTECIMENTO DE VEICULOS,LITROSS
10,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,UM
10,USINA DE SOLO CIMENTO,UND
10,CIMENTO REFRATÁRIO,QUILOGRAMA
9,CONTROLE DE ABASTECIMENTO DE VEICULOS,BLOCO
9,CIMENTO PORTLAND,METRO
9,CIMENTO REFRATÁRIO,KILO
9,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO,PÇ.
9,CIMENTO REFRATÁRIO,FRASCO
