;UF;Município;;Situação;NOME_SIMPLIFICADO;COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1;PB;ALAGOA GRANDE;;Aprovado;ALAGOA GRANDE;2500304;1905;Alagoa Grande;ALAGOA GRANDE;PB;Paraíba;28439;0;NE;0,582;0,797;0,43;0,576
1;PB;ALAGOA NOVA;;Aprovado;ALAGOA NOVA;2500403;1907;Alagoa Nova;ALAGOA NOVA;PB;Paraíba;20921;0;NE;0,576;0,749;0,451;0,567
1;PB;ALAGOINHA;;Aprovado;ALAGOINHA;2500502;1909;Alagoinha;ALAGOINHA;PB;Paraíba;14560;0;NE;0,595;0,795;0,462;0,574
1;PE;ALAGOINHA;;Aprovado;ALAGOINHA;2600609;2311;Alagoinha;ALAGOINHA;PE;Pernambuco;14718;0;NE;0,599;0,801;0,472;0,569
1;PI;ALAGOINHA DO PIAUI;;Aprovado;ALAGOINHA DO PIAUI;2200251;9767;Alagoinha do Piauí;ALAGOINHA DO PIAUI;PI;Piauí;7665;0;NE;0,531;0,716;0,391;0,535
1;BA;ALAGOINHAS;;Aprovado;ALAGOINHAS;2900702;3313;Alagoinhas;ALAGOINHAS;BA;Bahia;152327;0;NE;0,683;0,79;0,592;0,681
1;SP;ALAMBARI;;Aprovado;ALAMBARI;3500758;2995;Alambari;ALAMBARI;SP;São Paulo;6129;0;SE;0,712;0,805;0,658;0,682
1;MG;ALBERTINA;;Aprovado;ALBERTINA;3101409;4027;Albertina;ALBERTINA;MG;Minas Gerais;3011;0;SE;0,673;0,813;0,549;0,684
1;MA;ALCANTARA;;Não Cadastrado;ALCANTARA;2100204;703;Alcântara;ALCANTARA;MA;Maranhão;22112;0;NE;0,573;0,753;0,475;0,525
1;CE;ALCANTARAS;;Aprovado;ALCANTARAS;2300507;1309;Alcântaras;ALCANTARAS;CE;Ceará;11781;0;NE;0,6;0,751;0,524;0,549
1;PB;ALCANTIL;;Aprovado;ALCANTIL;2500536;440;Alcantil;ALCANTIL;PB;Paraíba;5509;0;NE;0,578;0,765;0,458;0,55
1;MS;ALCINOPOLIS;;Não Cadastrado;ALCINOPOLIS;5000252;141;Alcinópolis;ALCINOPOLIS;MS;Mato Grosso do Sul;5417;0;CO;0,711;0,858;0,572;0,733
1;BA;ALCOBACA;;Aprovado;ALCOBACA;2900801;3315;Alcobaça;ALCOBACA;BA;Bahia;22490;0;NE;0,608;0,771;0,476;0,611
1;MA;ALDEIAS ALTAS;;Não Cadastrado;ALDEIAS ALTAS;2100303;705;Aldeias Altas;ALDEIAS ALTAS;MA;Maranhão;26757;0;NE;0,513;0,72;0,374;0,5
1;RS;ALECRIM;;Aprovado;ALECRIM;4300307;8505;Alecrim;ALECRIM;RS;Rio Grande do Sul;5827;0;S;0,672;0,852;0,522;0,683
1;ES;ALEGRE;;Aprovado;ALEGRE;3200201;5603;Alegre;ALEGRE;ES;Espírito Santo;29975;0;SE;0,721;0,839;0,63;0,708
1;RS;ALEGRETE;;Aprovado;ALEGRETE;4300406;8507;Alegrete;ALEGRETE;RS;Rio Grande do Sul;73028;0;S;0,74;0,849;0,664;0,72
1;PI;ALEGRETE DO PIAUI;;Aprovado;ALEGRETE DO PIAUI;2200277;2269;Alegrete do Piauí;ALEGRETE DO PIAUI;PI;Piauí;4918;0;NE;0,585;0,749;0,475;0,564
1;RS;ALEGRIA;;Aprovado;ALEGRIA;4300455;8497;Alegria;ALEGRIA;RS;Rio Grande do Sul;3374;0;S;0,695;0,818;0,572;0,717
1;MG;ALEM PARAIBA;;Aprovado;ALEM PARAIBA;3101508;4029;Além Paraíba;ALEM PARAIBA;MG;Minas Gerais;35401;0;SE;0,726;0,857;0,626;0,713
1;PA;ALENQUER;;Aprovado;ALENQUER;1500404;407;Alenquer;ALENQUER;PA;Pará;57092;0;N;0,564;0,779;0,436;0,529
1;RN;ALEXANDRIA;;Aprovado;ALEXANDRIA;2400505;1609;Alexandria;ALEXANDRIA;RN;Rio Grande do Norte;13553;0;NE;0,606;0,779;0,491;0,581
1;GO;ALEXANIA;;Aprovado;ALEXANIA;5200308;9205;Alexânia;ALEXANIA;GO;Goiás;28010;0;CO;0,682;0,841;0,568;0,664
1;MG;ALFENAS;;Aprovado;ALFENAS;3101607;4031;Alfenas;ALFENAS;MG;Minas Gerais;80494;0;SE;0,761;0,841;0,712;0,737
1;ES;ALFREDO CHAVES;;Aprovado;ALFREDO CHAVES;3200300;5605;Alfredo Chaves;ALFREDO CHAVES;ES;Espírito Santo;14636;0;SE;0,71;0,832;0,611;0,703
1;SP;ALFREDO MARCONDES;;Não Cadastrado;ALFREDO MARCONDES;3500808;6115;Alfredo Marcondes;ALFREDO MARCONDES;SP;São Paulo;4184;0;SE;0,741;0,84;0,71;0,682
1;MG;ALFREDO VASCONCELOS;;Não Cadastrado;ALFREDO VASCONCELOS;3101631;2681;Alfredo Vasconcelos;ALFREDO VASCONCELOS;MG;Minas Gerais;6981;0;SE;0,675;0,834;0,587;0,629
1;SC;ALFREDO WAGNER;;Aprovado;ALFREDO WAGNER;4200705;8013;Alfredo Wagner;ALFREDO WAGNER;SC;Santa Catarina;10086;0;S;0,668;0,882;0,481;0,702
1;PB;ALGODAO DE JANDAIRA;;Não Cadastrado;ALGODAO DE JANDAIRA;2500577;442;Algodão de Jandaíra;ALGODAO DE JANDAIRA;PB;Paraíba;2577;0;NE;0,548;0,749;0,413;0,532
1;PB;ALHANDRA;;Aprovado;ALHANDRA;2500601;1911;Alhandra;ALHANDRA;PB;Paraíba;19727;0;NE;0,582;0,778;0,465;0,544
1;PE;ALIANCA;;Aprovado;ALIANCA;2600708;2313;Aliança;ALIANCA;PE;Pernambuco;38397;0;NE;0,604;0,799;0,488;0,565
1;TO;ALIANCA DO TOCANTINS;;Aprovado;ALIANCA DO TOCANTINS;1700350;9441;Aliança do Tocantins;ALIANCA DO TOCANTINS;TO;Tocantins;5346;0;N;0,663;0,801;0,596;0,61
1;BA;ALMADINA;;Em Análise;ALMADINA;2900900;3317;Almadina;ALMADINA;BA;Bahia;5366;0;NE;0,563;0,751;0,421;0,563
1;TO;ALMAS;;Aprovado;ALMAS;1700400;9207;Almas;ALMAS;TO;Tocantins;6979;0;N;0,636;0,796;0,524;0,616
1;PA;ALMEIRIM;;Aprovado;ALMEIRIM;1500503;409;Almeirim;ALMEIRIM;PA;Pará;34076;0;N;0,642;0,809;0,497;0,659
1;MG;ALMENARA;;Aprovado;ALMENARA;3101706;4033;Almenara;ALMENARA;MG;Minas Gerais;42143;0;SE;0,642;0,803;0,518;0,636
1;RN;ALMINO AFONSO;;Aprovado;ALMINO AFONSO;2400604;1611;Almino Afonso;ALMINO AFONSO;RN;Rio Grande do Norte;4710;0;NE;0,624;0,739;0,568;0,578
1;PR;ALMIRANTE TAMANDARE;;Aprovado;ALMIRANTE TAMANDARE;4100400;7407;Almirante Tamandaré;ALMIRANTE TAMANDARE;PR;Paraná;120041;0;S;0,699;0,84;0,575;0,706
1;RS;ALMIRANTE TAMANDARE DO SUL;;Aprovado;ALMIRANTE TAMANDARE DO SUL;4300471;1120;Almirante Tamandaré do Sul;ALMIRANTE TAMANDARE DO SUL;RS;Rio Grande do Sul;1949;0;S;0,74;0,828;0,669;0,732
1;GO;ALOANDIA;;Não Cadastrado;ALOANDIA;5200506;9209;Aloândia;ALOANDIA;GO;Goiás;1986;0;CO;0,697;0,834;0,585;0,694
1;MG;ALPERCATA;;Não Cadastrado;ALPERCATA;3101805;4035;Alpercata;ALPERCATA;MG;Minas Gerais;7436;0;SE;0,646;0,824;0,521;0,629
1;RS;ALPESTRE;;Aprovado;ALPESTRE;4300505;8509;Alpestre;ALPESTRE;RS;Rio Grande do Sul;6067;0;S;0,671;0,795;0,543;0,7
1;MG;ALPINOPOLIS;;Aprovado;ALPINOPOLIS;3101904;4037;Alpinópolis;ALPINOPOLIS;MG;Minas Gerais;19958;0;SE;0,725;0,862;0,629;0,703
1;MT;ALTA FLORESTA;;Aprovado;ALTA FLORESTA;5100250;8987;Alta Floresta;ALTA FLORESTA;MT;Mato Grosso;51959;0;CO;0,714;0,817;0,629;0,709
0;RO;ALTA FLORESTA D'OESTE;;Não Cadastrado;ALTA FLORESTA DOESTE;1100015;33;Alta Floresta D'Oeste;ALTA FLORESTA DOESTE;RO;Rondônia;22728;0;N;0,641;0,763;0,526;0,657
1;SP;ALTAIR;;Não Cadastrado;ALTAIR;3500907;6117;Altair;ALTAIR;SP;São Paulo;4186;0;SE;0,687;0,8;0,581;0,698
1;PA;ALTAMIRA;;Aprovado;ALTAMIRA;1500602;411;Altamira;ALTAMIRA;PA;Pará;115969;0;N;0,665;0,811;0,548;0,662
1;MA;ALTAMIRA DO MARANHAO;;Não Cadastrado;ALTAMIRA DO MARANHAO;2100402;707;Altamira do Maranhão;ALTAMIRA DO MARANHAO;MA;Maranhão;8189;0;NE;0,549;0,719;0,473;0,486
1;PR;ALTAMIRA DO PARANA;;Aprovado;ALTAMIRA DO PARANA;4100459;8455;Altamira do Paraná;ALTAMIRA DO PARANA;PR;Paraná;1682;0;S;0,667;0,78;0,571;0,667
1;CE;ALTANEIRA;;Aprovado;ALTANEIRA;2300606;1311;Altaneira;ALTANEIRA;CE;Ceará;7650;0;NE;0,602;0,774;0,515;0,547
1;MG;ALTEROSA;;Aprovado;ALTEROSA;3102001;4039;Alterosa;ALTEROSA;MG;Minas Gerais;14517;0;SE;0,668;0,847;0,536;0,657
1;PE;ALTINHO;;Aprovado;ALTINHO;2600807;2315;Altinho;ALTINHO;PE;Pernambuco;22984;0;NE;0,598;0,792;0,482;0,559
1;SP;ALTINOPOLIS;;Não Cadastrado;ALTINOPOLIS;3501004;6119;Altinópolis;ALTINOPOLIS;SP;São Paulo;16203;0;SE;0,73;0,843;0,635;0,726
1;RS;ALTO ALEGRE;;Não Cadastrado;ALTO ALEGRE;1400050;305;Alto Alegre;ALTO ALEGRE;RR;Roraima;15380;0;N;0,542;0,813;0,379;0,518
1;SP;ALTO ALEGRE;;Não Cadastrado;ALTO ALEGRE;3501103;6121;Alto Alegre;ALTO ALEGRE;SP;São Paulo;4088;0;SE;0,7;0,817;0,616;0,683
1;RR;ALTO ALEGRE;;Não Cadastrado;ALTO ALEGRE;4300554;8495;Alto Alegre;ALTO ALEGRE;RS;Rio Grande do Sul;1613;0;S;0,747;0,859;0,642;0,756
1;MA;ALTO ALEGRE DO MARANHAO;;Aprovado;ALTO ALEGRE DO MARANHAO;2100436;106;Alto Alegre do Maranhão;ALTO ALEGRE DO MARANHAO;MA;Maranhão;27858;0;NE;0,554;0,744;0,444;0,516
1;MA;ALTO ALEGRE DO PINDARE;;Aprovado;ALTO ALEGRE DO PINDARE;2100477;108;Alto Alegre do Pindaré;ALTO ALEGRE DO PINDARE;MA;Maranhão;31943;0;NE;0,558;0,774;0,483;0,465
