registros,I_Cmp,I_Und
6,CARTUCHO IMPRESSÃO,CARTUCHO IMPRESSAO
6,CARTUCHO TONER IMPRESSORA HP,"CAIXA 10,00 UN"
6,CARTUCHO IMPRESSÃO,TRES
6,CARTUCHO IMPRESSÃO,5
6,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",DOIS
6,CARTUCHO TINTA IMPRESSORA LEXMARK,UN
6,CARTUCHO TINTA IMPRESSORA OLIVETTI,CONJUNTO
6,CARTUCHO TINTA IMPRESSORA HP,PAR
6,CARTUCHO TINTA IMPRESSORA HP,UN/
6,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",2
6,CARTUCHO IMPRESSÃO,3
6,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",CX
6,CARTUCHO IMPRESSÃO,8500
6,CARTUCHO TINTA IMPRESSORA APOLLO,"CAIXA 2,00 UN"
6,CARTUCHO IMPRESSÃO,CA
6,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",LOTE COMPLETO
6,CARTUCHO TONER IMPRESSORA LEXMARK,"CAIXA 1,00 UN"
6,CARTUCHO TINTA IMPRESSORA BROTHER,"CAIXA 2,00 UN"
6,CARTUCHO IMPRESSÃO,CAIXAS
6,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",SERVICOS
6,CARTUCHO IMPRESSÃO,0000000000000000PEÇA
6,CARTUCHO TONER COPIADORA / IMPRESSORA PANASONIC,CX
6,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",LITRO
6,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""","30,00"
5,CARTUCHO IMPRESSÃO,7900
5,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",4
5,CARTUCHO IMPRESSÃO,6600
5,CARTUCHO IMPRESSÃO,BLISTER
5,CARTUCHO TINTA IMPRESSORA HP,LITRO
5,CARTUCHO IMPRESSÃO,CX.
5,CARTUCHO IMPRESSÃO,C/1
5,CARTUCHO IMPRESSÃO,CRT
5,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 5000,00 FL"
5,CARTUCHO IMPRESSÃO,6400
5,CARTUCHO TINTA IMPRESSORA,UND.
5,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",.
5,CARTUCHO IMPRESSÃO,7500
5,CARTUCHO TINTA IMPRESSORA HP,"*FRASCO 500,00 ML"
5,CARTUCHO TINTA IMPRESSORA,PÇ
